Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Avg_rating,Overall Sentiment
326,196,4.11,5,4.11,5,3.22,3.67,3.67,3.67,4.05625,Positive
327,804,4.56,1.89,3.67,3.22,5,3.67,4.56,3.67,3.78,Negative
328,837,2.78,5,2.33,1,2.33,4.11,4.56,1,2.88875,Neutral
329,530,3.22,2.78,2.33,4.56,1,1.44,1.89,3.22,2.555,Neutral
330,720,3.22,3.22,3.22,4.56,5,2.33,3.22,3.67,3.555,Negative
331,272,2.78,2.33,3.22,2.33,2.33,3.67,3.67,4.56,3.11125,Negative
332,984,2.78,5,3.22,2.33,1.44,5,2.33,3.22,3.165,Negative
333,185,5,1.89,4.11,2.33,1,5,3.67,4.56,3.445,Negative
334,487,3.22,3.22,2.33,1.44,5,5,1,4.56,3.22125,Negative
335,75,4.11,4.56,4.11,3.22,1.44,3.67,4.56,5,3.83375,Negative
336,718,3.22,1.89,3.22,3.67,3.22,3.22,1.44,3.22,2.8875,Neutral
337,496,5,3.67,2.33,3.22,5,2.78,1.89,3.22,3.38875,Negative
338,630,2.78,2.78,2.33,4.11,1.89,3.22,3.22,4.11,3.055,Negative
339,637,4.11,5,2.78,3.22,5,4.11,1.44,1.44,3.3875,Negative
340,360,4.56,4.56,4.11,1.44,1.89,1,4.11,3.22,3.11125,Negative
341,183,3.22,3.67,2.78,2.78,2.33,3.67,1,4.56,3.00125,Negative
342,689,5,4.11,3.67,4.11,1,4.56,2.78,5,3.77875,Negative
343,236,3.22,4.56,3.22,2.33,1,1.44,4.11,2.33,2.77625,Neutral
344,768,3.22,3.22,3.22,1.89,2.78,4.56,4.11,1.89,3.11125,Negative
345,316,3.67,1.44,3.67,4.11,3.22,2.33,1.44,4.56,3.055,Negative
346,396,3.22,5,2.33,3.22,1,1.44,2.33,5,2.9425,Neutral
347,212,3.22,2.33,2.33,3.22,2.78,5,5,1.44,3.165,Negative
348,830,4.56,3.67,3.67,5,3.67,4.11,3.22,2.33,3.77875,Negative
349,209,4.56,4.11,2.78,1.89,1.89,5,3.67,1.44,3.1675,Negative
350,62,3.67,2.33,2.33,2.78,1.89,5,1.44,1,2.555,Neutral
351,447,4.11,3.67,3.67,1,2.33,3.67,5,4.56,3.50125,Negative
352,100,3.22,3.22,3.22,5,3.67,2.78,3.67,4.11,3.61125,Negative
353,305,5,4.11,4.11,2.33,3.22,1.89,5,2.33,3.49875,Negative
354,494,5,3.22,3.22,3.22,2.33,5,1.44,4.56,3.49875,Negative
355,328,5,3.22,2.78,2.33,3.22,5,4.11,1.44,3.3875,Negative
356,854,4.11,1.44,4.11,2.33,3.22,1.44,2.33,3.67,2.83125,Neutral
357,866,2.78,5,2.33,4.11,1.89,3.67,2.33,2.78,3.11125,Negative
358,943,4.11,4.56,3.67,5,3.22,3.67,3.67,3.22,3.89,Negative
359,734,4.56,4.11,2.78,1.89,5,1,4.11,1.89,3.1675,Negative
360,189,4.56,1.89,3.22,1.44,1.89,4.11,5,3.67,3.2225,Negative
361,404,5,2.78,3.67,4.11,1,2.78,5,2.33,3.33375,Negative
362,518,3.67,2.33,4.11,2.78,3.67,4.56,1.44,3.22,3.2225,Negative
363,856,3.22,4.56,2.33,3.22,4.11,4.11,1.89,4.11,3.44375,Negative
364,70,4.56,1.44,2.78,4.11,5,4.56,3.67,3.22,3.6675,Negative
365,457,3.67,2.33,4.11,1.44,1.89,3.22,4.11,2.33,2.8875,Neutral
366,148,2.78,2.33,2.33,2.33,4.11,5,2.78,2.78,3.055,Negative
367,958,5,5,2.78,4.11,2.78,5,3.67,4.11,4.05625,Positive
368,356,3.67,1.89,3.67,3.22,2.33,1.44,1,5,2.7775,Neutral
369,793,5,4.56,3.22,2.33,3.67,3.22,4.11,1.89,3.5,Negative
370,771,4.11,3.67,3.22,2.33,4.11,3.67,1.89,1.44,3.055,Negative
371,452,2.78,3.22,3.67,4.56,3.67,4.11,3.22,1,3.27875,Negative
372,72,4.11,3.67,3.67,1.89,2.33,1,2.33,3.67,2.83375,Neutral
373,710,3.67,1.44,3.22,2.78,3.67,3.67,3.22,5,3.33375,Negative
374,980,3.22,1.89,3.67,1,2.78,2.33,4.56,2.33,2.7225,Neutral
375,145,3.22,4.11,2.33,3.22,1,1.89,1.44,3.67,2.61,Neutral
376,960,3.22,4.56,3.22,1,1.89,1.89,2.78,4.11,2.83375,Neutral
377,660,2.78,3.67,3.67,1.89,5,1.89,1.89,2.33,2.89,Neutral
378,987,4.56,5,3.67,4.11,3.67,1.89,4.11,3.67,3.835,Negative
379,534,4.56,2.78,3.67,2.78,1.44,3.22,5,4.11,3.445,Negative
380,858,4.56,2.78,2.78,1.89,1.44,1.44,3.67,3.67,2.77875,Neutral
381,324,5,2.78,2.78,1.44,1.44,2.78,3.67,3.22,2.88875,Neutral
382,884,3.67,2.33,3.67,5,2.78,1,3.67,2.33,3.05625,Negative
383,611,4.11,4.56,2.78,1.89,4.56,2.78,4.11,1.89,3.335,Negative
384,136,4.11,3.22,3.67,5,4.56,4.56,1.44,1.89,3.55625,Negative
385,705,4.56,1.89,3.22,1.89,1.89,2.78,1,1.44,2.33375,Neutral
386,991,3.67,2.33,2.78,4.11,4.56,4.11,2.78,1,3.1675,Negative
387,676,4.56,4.11,2.78,3.67,2.33,5,1.44,3.22,3.38875,Negative
388,769,4.56,4.11,4.11,4.11,1,1,4.11,2.78,3.2225,Negative
389,246,3.67,5,4.11,4.11,2.33,5,1.89,4.11,3.7775,Negative
390,644,4.56,3.22,4.11,1.44,3.67,3.22,2.33,3.22,3.22125,Negative
391,263,3.67,4.56,2.33,3.67,4.56,4.11,5,3.67,3.94625,Negative
392,476,4.56,2.33,3.22,2.33,4.11,3.22,2.33,5,3.3875,Negative
393,697,3.67,3.67,3.22,1,4.11,5,2.78,1.44,3.11125,Negative
394,95,3.67,1.44,2.78,2.78,4.56,3.22,4.11,1.89,3.05625,Negative
395,688,4.11,3.22,3.67,2.78,3.22,1,2.33,5,3.16625,Negative
396,633,4.11,1.44,2.33,3.67,2.33,3.22,3.67,2.33,2.8875,Neutral
397,241,4.11,1.89,4.11,4.11,5,1,4.11,3.22,3.44375,Negative
398,524,4.56,4.11,2.33,3.22,5,1,4.56,5,3.7225,Negative
399,504,4.56,2.33,2.78,3.22,3.22,1,3.67,5,3.2225,Negative
400,417,4.56,3.22,3.67,4.56,2.78,1,3.67,1.44,3.1125,Negative
401,554,3.22,3.22,4.11,1.44,2.33,3.22,2.33,5,3.10875,Negative
402,656,3.22,1.44,3.67,1.44,2.78,3.22,4.56,4.56,3.11125,Negative
403,19,5,2.33,3.22,1.89,4.56,5,4.56,1.89,3.55625,Negative
404,275,4.11,2.78,2.33,4.56,2.78,2.78,4.11,5,3.55625,Negative
405,478,2.78,5,3.67,3.22,4.11,3.67,1.89,4.56,3.6125,Negative
406,132,3.22,4.56,2.78,4.11,5,1.89,1.44,5,3.5,Negative
407,515,4.11,1.89,2.78,5,1.89,2.33,4.56,2.33,3.11125,Negative
408,44,4.11,4.56,2.78,1.89,3.22,4.56,2.33,4.56,3.50125,Negative
409,388,3.22,5,2.33,2.78,3.22,2.33,2.33,4.56,3.22125,Negative
410,204,4.11,3.67,3.22,1.89,1.89,5,1.89,3.22,3.11125,Negative
411,338,2.78,1.44,2.33,3.22,4.56,5,4.56,2.33,3.2775,Negative
412,619,4.11,3.67,3.22,2.33,1.89,4.56,1.89,4.11,3.2225,Negative
413,205,4.11,2.33,2.33,1.44,1,3.67,4.56,3.67,2.88875,Neutral
414,39,3.67,1.89,3.67,5,3.22,2.33,4.11,1.44,3.16625,Negative
415,53,2.78,4.11,2.78,1,5,4.11,2.78,3.67,3.27875,Negative
416,58,4.56,1.89,3.67,1,1.44,1.89,5,3.67,2.89,Neutral
417,157,4.56,3.22,4.11,1.44,4.11,2.33,2.33,1.89,2.99875,Neutral
418,28,4.11,3.22,3.22,4.56,4.56,4.56,2.33,3.67,3.77875,Negative
419,833,4.11,3.22,3.67,3.67,3.67,4.56,5,4.56,4.0575,Positive
420,252,4.11,4.56,2.33,3.22,5,1.44,3.67,2.78,3.38875,Negative
421,658,4.11,2.78,3.22,3.67,5,2.33,3.22,2.33,3.3325,Negative
422,179,3.22,1.89,3.67,3.22,1.44,3.22,2.78,1.44,2.61,Neutral
423,851,4.56,3.22,2.33,5,1.44,1,1.89,5,3.055,Negative
424,809,3.67,4.11,3.67,2.78,5,1.44,4.11,4.11,3.61125,Negative
425,330,3.67,3.67,2.78,3.67,4.56,5,1.44,1.44,3.27875,Negative
426,94,5,5,2.33,3.67,4.11,1.44,2.33,2.33,3.27625,Negative
427,826,5,2.78,3.67,1.44,4.11,3.67,5,2.78,3.55625,Negative
428,227,4.56,1.89,3.22,2.33,3.67,2.33,2.33,3.67,3,Negative
429,1000,4.56,4.11,2.78,2.33,5,3.67,3.67,5,3.89,Negative
430,114,5,4.56,3.67,1,4.11,2.33,2.33,1.44,3.055,Negative
431,251,2.78,4.56,3.22,4.56,3.22,2.33,2.78,1.44,3.11125,Negative
432,613,2.78,3.22,3.22,1.89,4.56,2.33,1.44,4.56,3,Negative
433,101,5,2.78,3.22,3.22,4.56,4.11,5,1.89,3.7225,Negative
434,871,3.67,4.11,3.67,5,5,3.67,1.44,1.44,3.5,Negative
435,551,3.22,1.89,2.78,3.67,1.89,1,4.56,5,3.00125,Negative
436,931,3.22,2.78,3.67,1.89,3.22,2.78,3.22,5,3.2225,Negative
437,49,4.11,3.67,4.11,4.11,1,1,4.11,1.89,3,Negative
438,512,2.78,5,3.67,4.56,4.56,4.56,3.22,4.56,4.11375,Positive
439,261,4.56,4.56,3.67,3.67,2.33,5,2.78,4.56,3.89125,Negative
440,754,3.22,4.56,2.33,2.33,1.89,5,1.44,5,3.22125,Negative
441,345,4.11,1.44,4.11,4.56,5,5,4.56,2.78,3.945,Negative
442,970,5,4.56,2.78,3.67,3.22,3.67,2.33,3.67,3.6125,Negative
443,990,3.22,4.56,3.22,2.33,4.56,2.78,5,4.11,3.7225,Negative
444,911,3.22,2.33,2.33,5,4.56,2.33,3.67,1.44,3.11,Negative
445,909,4.56,4.11,2.78,4.56,2.78,3.22,4.56,3.67,3.78,Negative
446,817,3.22,2.78,3.67,5,5,2.33,3.22,3.22,3.555,Negative
447,733,5,5,2.78,1,2.33,1,1.89,2.33,2.66625,Neutral
448,626,3.67,4.56,2.78,2.33,4.56,2.33,1.89,1,2.89,Neutral
449,292,3.67,4.56,4.11,1,2.78,2.33,3.67,2.33,3.05625,Negative
450,82,2.78,5,4.11,2.33,2.33,5,2.78,2.78,3.38875,Negative
451,355,5,4.11,2.78,3.22,2.78,5,1,4.11,3.5,Negative
452,948,4.56,2.78,2.33,3.67,4.56,1.89,2.78,3.67,3.28,Negative
453,341,4.56,2.33,2.33,2.33,3.67,2.78,2.78,4.11,3.11125,Negative
454,952,3.67,4.56,2.78,3.67,4.11,4.11,5,2.78,3.835,Negative
455,711,3.67,1.89,2.33,3.22,1.89,3.67,3.22,2.33,2.7775,Neutral
456,635,3.67,1.89,4.11,3.22,3.67,2.33,5,2.78,3.33375,Negative
457,850,2.78,4.11,3.67,2.33,4.11,3.67,4.11,3.22,3.5,Negative
458,716,3.22,1.89,3.67,4.56,1.44,1.89,1.89,3.22,2.7225,Neutral
459,627,5,1.44,2.33,1,3.22,2.78,4.56,2.78,2.88875,Neutral
460,661,3.22,5,2.33,1.89,4.11,1.44,3.67,3.22,3.11,Negative
461,877,4.11,4.56,2.33,2.78,5,5,5,1.44,3.7775,Negative
462,177,4.11,1.44,3.22,1.44,4.11,1,4.56,4.56,3.055,Negative
463,322,4.11,5,3.67,1.89,1.89,1.89,1,2.78,2.77875,Neutral
464,914,4.56,1.44,2.33,1.44,2.33,1.44,1.44,4.56,2.4425,Neutral
465,486,5,4.56,2.78,1,2.33,5,3.22,4.56,3.55625,Negative
466,723,3.22,5,2.78,1.89,5,1.89,3.22,2.33,3.16625,Negative
467,105,4.56,5,2.78,1,1.89,1,1,1.44,2.33375,Neutral
468,52,3.22,5,2.33,1,3.67,1.89,5,1.44,2.94375,Neutral
469,436,4.56,4.56,2.33,5,1,5,5,1.44,3.61125,Negative
470,829,3.22,4.56,2.78,1.89,1.44,1.44,5,4.56,3.11125,Negative
471,753,2.78,5,4.11,3.67,2.78,5,4.56,3.67,3.94625,Negative
472,130,3.67,4.56,2.78,4.56,1.89,1.44,2.78,2.33,3.00125,Negative
473,91,3.22,2.78,2.33,1.44,2.78,4.11,1.89,1.89,2.555,Neutral
474,590,5,1.89,2.33,2.33,4.56,4.56,3.22,1.44,3.16625,Negative
475,965,5,1.89,2.33,2.78,5,1.89,3.67,1.89,3.05625,Negative
476,99,4.11,4.56,3.22,1.44,1.44,1.89,5,3.22,3.11,Negative
477,912,3.67,5,3.67,5,1.44,3.67,2.78,3.67,3.6125,Negative
478,395,4.56,3.22,4.11,1.44,3.67,4.56,4.11,5,3.83375,Negative
479,923,3.22,1.89,2.78,3.22,4.56,2.33,5,1.89,3.11125,Negative
480,499,3.67,4.56,4.11,1.89,2.78,1,2.78,1.44,2.77875,Neutral
481,115,2.78,2.78,3.67,1,1.89,4.11,1,5,2.77875,Neutral
482,815,2.78,4.56,3.22,3.22,1.44,4.56,2.78,1.89,3.05625,Negative
483,570,5,5,3.22,4.11,4.56,1.44,4.11,5,4.055,Positive
484,825,4.56,3.67,4.11,1,1.89,1.44,4.56,1.89,2.89,Neutral
485,620,4.56,2.78,4.11,1.44,4.11,5,4.11,4.11,3.7775,Negative
486,175,5,4.56,4.11,1.44,1,3.22,3.67,1.44,3.055,Negative
487,358,2.78,3.67,2.33,1.89,1.89,5,1.89,2.33,2.7225,Neutral
488,191,3.67,2.33,2.78,1.44,2.78,5,2.33,3.67,3,Negative
489,492,3.22,2.78,4.11,5,1.89,4.11,1.89,1.44,3.055,Negative
490,529,4.56,3.22,3.22,1,2.33,5,1,3.67,3,Negative
491,389,2.78,2.78,4.11,3.22,1.44,1.89,2.78,3.67,2.83375,Neutral
492,878,3.22,2.78,4.11,2.33,5,1.89,4.56,5,3.61125,Negative
493,368,3.67,4.56,4.11,1.89,1.44,3.67,2.33,1,2.83375,Neutral
494,122,3.67,2.78,2.78,1.89,4.56,3.22,4.56,1.44,3.1125,Negative
495,332,4.56,1.44,3.67,1.44,4.11,3.67,2.33,5,3.2775,Negative
496,303,3.67,2.33,2.78,2.33,3.67,1.44,1,3.22,2.555,Neutral
497,336,4.11,5,2.33,2.78,3.22,3.67,1.44,1.89,3.055,Negative
498,588,3.22,3.22,2.33,5,5,5,1.89,4.56,3.7775,Negative
499,609,5,4.56,2.33,2.33,1,2.78,4.56,5,3.445,Negative
500,920,5,3.22,3.67,5,5,1.44,2.33,1.44,3.3875,Negative
501,370,4.56,2.33,3.67,5,1,5,1.44,3.67,3.33375,Negative
502,405,5,1.44,2.78,2.78,2.78,1,2.33,3.22,2.66625,Neutral
503,779,5,4.11,3.22,1.89,4.11,4.11,3.67,4.11,3.7775,Negative
504,962,5,3.22,2.33,2.78,1,3.67,1,5,3,Negative
505,268,5,3.22,2.78,4.56,4.56,1,4.11,3.22,3.55625,Negative
506,625,5,3.67,3.22,3.67,4.56,3.22,1.89,1.89,3.39,Negative
507,217,4.11,4.56,4.11,1.89,4.11,2.78,2.78,2.78,3.39,Negative
508,479,5,5,2.33,3.22,2.78,4.56,1.44,1.89,3.2775,Negative
509,500,4.56,2.78,4.11,2.33,1.44,1.44,2.78,1,2.555,Neutral
510,409,4.11,4.56,3.67,1.89,5,2.33,3.22,1,3.2225,Negative
511,546,3.67,3.67,2.78,1,4.56,4.11,1,1,2.72375,Neutral
512,967,2.78,2.78,4.11,4.11,1,4.56,4.11,2.78,3.27875,Negative
513,343,4.11,2.33,3.67,1,5,4.11,1.44,3.22,3.11,Negative
514,639,3.67,2.33,3.67,3.67,3.22,5,2.78,3.67,3.50125,Negative
515,402,3.22,4.11,3.22,4.56,2.33,4.11,2.78,3.67,3.5,Negative
516,617,2.78,3.67,2.78,2.33,3.67,1,5,3.22,3.05625,Negative
517,349,3.22,4.11,4.11,1.44,4.56,4.56,1.44,4.11,3.44375,Negative
518,994,4.11,2.78,2.78,1.44,2.78,2.78,4.56,2.78,3.00125,Negative
519,279,2.78,5,3.67,1,2.33,2.33,4.56,2.33,3,Negative
520,926,5,3.67,2.78,1,1,3.22,3.22,1,2.61125,Neutral
521,816,5,4.11,2.78,4.56,1.44,3.67,4.56,1.89,3.50125,Negative
522,765,4.11,3.67,4.11,2.78,3.67,3.67,3.67,3.67,3.66875,Negative
523,160,5,3.22,2.78,2.33,1.44,5,2.33,3.67,3.22125,Negative
524,606,4.11,1.89,4.11,1,3.22,2.33,4.11,4.56,3.16625,Negative
525,602,2.78,1.89,3.22,1.44,4.11,5,1.89,1,2.66625,Neutral
526,893,5,3.22,4.11,1,1,5,1,1.89,2.7775,Neutral
527,810,4.56,3.22,3.67,1.89,2.78,4.56,5,2.78,3.5575,Negative
528,802,4.11,1.44,3.22,3.22,1.89,4.11,3.67,3.67,3.16625,Negative
529,162,3.22,1.44,2.78,1.44,5,1.44,4.11,4.11,2.9425,Neutral
530,449,2.78,3.67,4.11,4.56,1.89,1.44,3.67,5,3.39,Negative
531,463,3.67,4.11,3.67,4.11,1,2.33,2.33,1,2.7775,Neutral
532,41,2.78,1.89,2.78,4.56,1.89,1,4.11,4.11,2.89,Neutral
533,838,3.22,1.89,3.22,4.11,3.67,1,4.11,4.11,3.16625,Negative
534,703,5,3.67,4.11,1.89,2.33,3.67,4.56,4.11,3.6675,Negative
535,490,4.56,1.44,3.22,5,4.56,4.11,1.44,2.33,3.3325,Negative
536,906,3.67,3.67,4.11,2.33,2.78,1.44,2.33,2.78,2.88875,Neutral
537,174,3.67,1.89,3.22,3.67,5,5,1.44,1.89,3.2225,Negative
538,4,2.78,4.11,2.78,3.67,5,3.67,1.89,1,3.1125,Negative
539,161,3.22,3.67,4.11,1.89,2.78,5,3.22,2.33,3.2775,Negative
540,31,2.78,2.33,2.78,4.56,4.56,1.44,2.33,1,2.7225,Neutral
541,623,3.22,2.33,3.22,3.22,5,5,1.89,4.56,3.555,Negative
542,818,5,2.78,2.33,4.56,1.44,3.22,1.44,3.22,2.99875,Neutral
543,60,2.78,3.22,2.78,1.89,1,3.67,2.78,1.89,2.50125,Neutral
544,384,3.22,1.44,3.67,4.56,2.33,2.33,1.44,4.11,2.8875,Neutral
545,971,3.67,3.22,3.67,2.33,3.22,3.22,3.67,4.56,3.445,Negative
546,427,3.67,1.89,3.67,1.44,4.56,4.11,4.11,3.67,3.39,Negative
547,431,5,4.56,2.33,1.89,1.89,4.56,2.33,1,2.945,Neutral
548,408,3.22,2.78,2.33,3.67,1,4.11,3.22,3.67,3,Negative
549,577,5,3.67,2.33,5,3.67,1.44,2.78,1,3.11125,Negative
550,803,3.22,5,4.11,2.78,3.22,2.78,3.22,3.67,3.5,Negative
551,273,4.56,1.89,3.67,1,2.78,1.89,4.11,2.33,2.77875,Neutral
552,371,3.22,1.89,2.33,4.56,2.33,5,2.33,5,3.3325,Negative
553,999,3.22,3.67,4.11,4.11,4.56,4.56,4.56,2.78,3.94625,Negative
554,595,5,2.78,2.78,2.33,5,2.33,2.33,2.33,3.11,Negative
555,63,4.11,4.11,3.67,2.33,2.33,2.33,4.11,1.44,3.05375,Negative
556,899,2.78,2.33,3.67,3.67,1.44,3.22,1,1,2.38875,Neutral
557,0,3.67,2.33,4.11,1.44,1,2.33,4.11,1.89,2.61,Neutral
558,796,3.67,4.56,3.22,1.44,3.67,3.67,3.22,4.11,3.445,Negative
559,181,5,5,2.33,1.44,1,2.78,1.89,1,2.555,Neutral
560,290,3.22,3.67,3.22,2.33,1.44,4.11,4.56,3.67,3.2775,Negative
561,373,3.22,2.33,4.11,5,2.78,1.89,5,5,3.66625,Negative
562,285,3.22,5,2.78,3.67,1.89,1.89,2.78,1,2.77875,Neutral
563,882,3.22,1.89,2.33,1,3.67,2.78,2.33,1.44,2.3325,Neutral
564,776,4.11,1.89,3.67,3.22,1.89,3.67,3.22,3.67,3.1675,Negative
565,935,5,4.56,3.67,1.44,4.11,1.44,1,1.44,2.8325,Neutral
566,679,5,3.22,2.33,2.78,5,4.56,3.22,3.67,3.7225,Negative
567,102,3.67,2.33,3.22,1.89,2.78,3.67,2.78,2.78,2.89,Neutral
568,618,2.78,4.11,3.22,4.56,1.89,4.11,3.67,4.56,3.6125,Negative
569,607,4.11,2.33,2.33,5,5,4.11,1.89,3.67,3.555,Negative
570,743,4.56,3.67,3.67,5,1,2.78,2.78,5,3.5575,Negative
571,682,4.11,2.78,4.11,4.56,1.44,5,1.89,2.33,3.2775,Negative
572,16,2.78,1.89,3.22,3.22,2.78,4.11,4.11,1.44,2.94375,Neutral
573,969,4.11,3.22,4.11,5,1.44,1,1.89,1.44,2.77625,Neutral
574,46,4.11,2.33,2.33,4.56,2.78,3.67,2.33,4.11,3.2775,Negative
575,706,3.22,4.11,3.67,4.56,4.11,3.22,2.33,1,3.2775,Negative
576,993,4.56,4.56,2.33,1,2.78,1.44,4.56,4.56,3.22375,Negative
577,508,5,3.22,2.78,4.11,4.11,2.78,3.67,5,3.83375,Negative
578,989,4.11,2.33,2.78,2.33,4.11,3.22,3.67,1.89,3.055,Negative
579,133,5,2.33,3.67,1.89,2.78,2.33,2.33,2.78,2.88875,Neutral
580,15,4.11,4.56,4.11,1.89,3.22,5,1.44,1.89,3.2775,Negative
581,78,5,4.56,3.22,4.11,5,3.67,3.67,4.11,4.1675,Positive
582,433,3.22,3.22,4.11,2.33,4.11,4.56,2.33,1,3.11,Negative
583,784,3.67,3.67,2.33,1.89,3.67,4.11,3.22,5,3.445,Negative
584,983,2.78,1.44,2.33,1,4.56,2.33,1.89,1.44,2.22125,Neutral
585,197,4.56,1.89,2.78,4.56,4.11,1.44,2.33,5,3.33375,Negative
586,483,4.11,1.44,3.22,1.44,5,1.44,1.44,2.78,2.60875,Neutral
587,376,2.78,2.78,2.78,4.11,4.11,2.33,3.22,5,3.38875,Negative
588,915,5,3.67,2.33,3.22,4.56,2.33,4.56,2.78,3.55625,Negative
589,210,3.22,2.78,3.67,4.56,2.78,1,1.44,2.33,2.7225,Neutral
590,20,4.11,2.33,2.78,1,5,5,3.67,2.78,3.33375,Negative
591,425,2.78,4.56,4.11,1,5,4.11,5,5,3.945,Negative
592,668,3.22,1.89,3.22,1,1.44,5,4.56,1.89,2.7775,Neutral
593,54,3.67,1.44,2.78,1,2.78,1.89,1,1.89,2.05625,Neutral
594,950,3.67,1.44,3.67,5,2.78,1.89,2.33,3.67,3.05625,Negative
595,782,3.22,3.67,2.33,1.44,1.44,1,1.89,4.11,2.3875,Neutral
596,108,2.78,2.78,3.67,2.78,5,3.67,1.89,4.56,3.39125,Negative
597,400,4.56,2.33,2.78,2.78,4.11,5,3.22,5,3.7225,Negative
598,685,5,4.56,3.67,1.89,1,3.22,3.22,2.33,3.11125,Negative
599,673,4.56,1.89,2.33,2.33,3.67,4.56,4.11,2.33,3.2225,Negative
600,198,3.22,3.67,3.67,3.67,1.89,2.78,2.33,1.89,2.89,Neutral
601,14,2.78,2.78,4.11,4.56,3.67,2.78,1.44,1,2.89,Neutral
602,172,3.22,2.78,4.11,1.89,2.33,1.89,5,1.89,2.88875,Neutral
603,359,2.78,3.22,3.67,3.22,4.56,2.78,1,2.78,3.00125,Negative
604,714,5,2.78,2.78,2.78,3.67,2.78,3.67,4.56,3.5025,Negative
605,785,3.67,3.22,3.67,1,3.67,2.78,2.78,4.56,3.16875,Negative
606,865,4.11,2.33,3.22,1.44,3.67,2.78,1.44,3.67,2.8325,Neutral
607,662,5,3.22,2.33,2.78,1,4.56,3.22,1.89,3,Negative
608,513,4.56,5,3.67,3.67,4.56,1.44,5,1,3.6125,Negative
609,722,3.67,5,2.78,2.78,2.33,4.56,3.22,3.67,3.50125,Negative
610,8,3.22,3.67,3.22,5,3.22,4.56,4.56,5,4.05625,Positive
611,873,5,5,2.33,2.78,4.56,5,1.44,2.78,3.61125,Negative
612,684,5,1.89,3.67,2.33,2.33,2.78,1,5,3,Negative
613,73,3.67,1.44,2.78,3.22,1.89,1,1,2.33,2.16625,Neutral
614,900,4.56,4.11,2.78,4.11,2.33,3.22,4.56,3.67,3.6675,Negative
615,933,3.22,4.56,2.33,4.11,3.67,5,1.89,2.78,3.445,Negative
616,634,3.22,3.67,3.22,3.22,1,3.22,1.89,4.11,2.94375,Neutral
617,835,4.11,1.44,3.67,4.11,1.89,2.33,1.89,2.33,2.72125,Neutral
618,422,4.56,4.11,2.33,2.33,4.11,1.89,2.33,5,3.3325,Negative
619,235,3.22,1.44,4.11,4.11,3.22,1.89,1.89,1,2.61,Neutral
620,286,5,1.89,3.67,5,4.11,4.11,2.33,4.56,3.83375,Negative
621,129,3.67,1.89,2.33,4.56,1,2.33,2.33,4.56,2.83375,Neutral
622,443,3.67,4.56,4.11,1.44,2.33,2.78,1,2.78,2.83375,Neutral
623,301,5,3.67,3.67,2.33,1.89,2.33,4.56,1.44,3.11125,Negative
624,532,5,1.44,2.33,1.44,1.44,3.22,5,4.56,3.05375,Negative
625,64,3.22,1.44,4.11,1,4.11,2.33,4.11,2.33,2.83125,Neutral
626,860,5,4.11,2.33,1.89,3.67,1,2.33,2.78,2.88875,Neutral
627,559,4.11,2.33,2.33,3.22,2.78,2.78,1,3.67,2.7775,Neutral
628,311,3.67,2.78,3.22,4.11,2.33,4.56,4.11,4.56,3.6675,Negative
629,32,4.56,1.89,3.67,3.67,3.22,1,4.56,1.44,3.00125,Negative
630,296,5,3.67,2.33,1.44,1.44,5,5,4.11,3.49875,Negative
631,419,5,1.44,2.78,4.11,2.78,1.89,1.89,5,3.11125,Negative
632,83,5,3.22,3.22,1,4.11,1,1.89,4.56,3,Negative
633,594,3.67,1.44,3.67,3.22,3.67,1.44,1.89,3.22,2.7775,Neutral
634,501,2.78,1.44,4.11,2.33,3.67,3.22,5,2.33,3.11,Negative
635,411,4.11,2.33,2.33,2.33,4.11,2.33,1.89,1,2.55375,Neutral
636,824,5,3.67,3.67,4.56,2.33,4.56,4.56,4.11,4.0575,Positive
637,585,3.67,3.22,4.11,1.44,2.33,3.67,5,4.56,3.5,Negative
638,848,4.56,4.56,3.22,1,4.56,1.44,4.11,3.22,3.33375,Negative
639,299,5,4.11,2.78,2.78,2.33,1.89,1,4.56,3.05625,Negative
640,107,4.56,2.33,4.11,3.22,5,2.33,2.78,4.56,3.61125,Negative
641,119,4.56,5,2.78,1,4.56,3.22,3.67,3.22,3.50125,Negative
642,335,2.78,1.89,2.33,1.44,4.11,2.33,3.67,3.22,2.72125,Neutral
643,557,2.78,2.78,4.11,1.44,2.33,5,3.22,1,2.8325,Neutral
644,113,2.78,3.22,3.67,1,5,3.22,2.33,3.67,3.11125,Negative
645,281,2.78,3.22,3.22,1.89,2.33,1,1,1,2.055,Neutral
646,836,4.56,1.89,2.33,3.22,3.22,1.89,1.44,3.67,2.7775,Neutral
647,426,4.56,4.11,3.67,4.11,5,3.22,4.56,4.11,4.1675,Positive
648,42,4.11,1.44,2.33,3.22,3.22,3.67,1.89,1,2.61,Neutral
649,567,4.56,1.89,4.11,1,2.33,4.56,5,4.56,3.50125,Negative
650,589,2.78,4.11,3.67,2.78,3.22,3.67,4.11,4.56,3.6125,Negative
651,187,2.78,2.78,3.22,1.44,3.22,1,4.11,2.78,2.66625,Neutral
652,615,2.78,3.22,3.67,4.56,1,1,1,2.78,2.50125,Neutral
653,556,4.56,4.56,2.78,2.78,1,1.89,3.22,5,3.22375,Negative
