Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance
383,136,4.11,3.22,3.67,5.0,4.56,4.56,1.44,1.89
384,705,4.56,1.89,3.22,1.89,1.89,2.78,1.0,1.44
385,991,3.67,2.33,2.78,4.11,4.56,4.11,2.78,1.0
386,676,4.56,4.11,2.78,3.67,2.33,5.0,1.44,3.22
387,769,4.56,4.11,4.11,4.11,1.0,1.0,4.11,2.78
388,246,3.67,5.0,4.11,4.11,2.33,5.0,1.89,4.11
389,644,4.56,3.22,4.11,1.44,3.67,3.22,2.33,3.22
390,263,3.67,4.56,2.33,3.67,4.56,4.11,5.0,3.67
391,476,4.56,2.33,3.22,2.33,4.11,3.22,2.33,5.0
392,697,3.67,3.67,3.22,1.0,4.11,5.0,2.78,1.44
393,95,3.67,1.44,2.78,2.78,4.56,3.22,4.11,1.89
394,688,4.11,3.22,3.67,2.78,3.22,1.0,2.33,5.0
395,633,4.11,1.44,2.33,3.67,2.33,3.22,3.67,2.33
396,241,4.11,1.89,4.11,4.11,5.0,1.0,4.11,3.22
397,524,4.56,4.11,2.33,3.22,5.0,1.0,4.56,5.0
398,504,4.56,2.33,2.78,3.22,3.22,1.0,3.67,5.0
399,417,4.56,3.22,3.67,4.56,2.78,1.0,3.67,1.44
400,554,3.22,3.22,4.11,1.44,2.33,3.22,2.33,5.0
401,656,3.22,1.44,3.67,1.44,2.78,3.22,4.56,4.56
402,19,5.0,2.33,3.22,1.89,4.56,5.0,4.56,1.89
403,275,4.11,2.78,2.33,4.56,2.78,2.78,4.11,5.0
404,478,2.78,5.0,3.67,3.22,4.11,3.67,1.89,4.56
405,132,3.22,4.56,2.78,4.11,5.0,1.89,1.44,5.0
406,515,4.11,1.89,2.78,5.0,1.89,2.33,4.56,2.33
407,44,4.11,4.56,2.78,1.89,3.22,4.56,2.33,4.56
408,388,3.22,5.0,2.33,2.78,3.22,2.33,2.33,4.56
409,204,4.11,3.67,3.22,1.89,1.89,5.0,1.89,3.22
410,338,2.78,1.44,2.33,3.22,4.56,5.0,4.56,2.33
411,619,4.11,3.67,3.22,2.33,1.89,4.56,1.89,4.11
412,205,4.11,2.33,2.33,1.44,1.0,3.67,4.56,3.67
413,39,3.67,1.89,3.67,5.0,3.22,2.33,4.11,1.44
414,53,2.78,4.11,2.78,1.0,5.0,4.11,2.78,3.67
415,58,4.56,1.89,3.67,1.0,1.44,1.89,5.0,3.67
416,157,4.56,3.22,4.11,1.44,4.11,2.33,2.33,1.89
417,28,4.11,3.22,3.22,4.56,4.56,4.56,2.33,3.67
418,833,4.11,3.22,3.67,3.67,3.67,4.56,5.0,4.56
419,252,4.11,4.56,2.33,3.22,5.0,1.44,3.67,2.78
420,658,4.11,2.78,3.22,3.67,5.0,2.33,3.22,2.33
421,179,3.22,1.89,3.67,3.22,1.44,3.22,2.78,1.44
422,851,4.56,3.22,2.33,5.0,1.44,1.0,1.89,5.0
423,809,3.67,4.11,3.67,2.78,5.0,1.44,4.11,4.11
424,330,3.67,3.67,2.78,3.67,4.56,5.0,1.44,1.44
425,94,5.0,5.0,2.33,3.67,4.11,1.44,2.33,2.33
426,826,5.0,2.78,3.67,1.44,4.11,3.67,5.0,2.78
427,227,4.56,1.89,3.22,2.33,3.67,2.33,2.33,3.67
428,1000,4.56,4.11,2.78,2.33,5.0,3.67,3.67,5.0
429,114,5.0,4.56,3.67,1.0,4.11,2.33,2.33,1.44
430,251,2.78,4.56,3.22,4.56,3.22,2.33,2.78,1.44
431,613,2.78,3.22,3.22,1.89,4.56,2.33,1.44,4.56
432,101,5.0,2.78,3.22,3.22,4.56,4.11,5.0,1.89
433,871,3.67,4.11,3.67,5.0,5.0,3.67,1.44,1.44
434,551,3.22,1.89,2.78,3.67,1.89,1.0,4.56,5.0
435,931,3.22,2.78,3.67,1.89,3.22,2.78,3.22,5.0
436,49,4.11,3.67,4.11,4.11,1.0,1.0,4.11,1.89
437,512,2.78,5.0,3.67,4.56,4.56,4.56,3.22,4.56
438,261,4.56,4.56,3.67,3.67,2.33,5.0,2.78,4.56
439,754,3.22,4.56,2.33,2.33,1.89,5.0,1.44,5.0
440,345,4.11,1.44,4.11,4.56,5.0,5.0,4.56,2.78
441,970,5.0,4.56,2.78,3.67,3.22,3.67,2.33,3.67
442,990,3.22,4.56,3.22,2.33,4.56,2.78,5.0,4.11
443,911,3.22,2.33,2.33,5.0,4.56,2.33,3.67,1.44
444,909,4.56,4.11,2.78,4.56,2.78,3.22,4.56,3.67
445,817,3.22,2.78,3.67,5.0,5.0,2.33,3.22,3.22
446,733,5.0,5.0,2.78,1.0,2.33,1.0,1.89,2.33
447,626,3.67,4.56,2.78,2.33,4.56,2.33,1.89,1.0
448,292,3.67,4.56,4.11,1.0,2.78,2.33,3.67,2.33
449,82,2.78,5.0,4.11,2.33,2.33,5.0,2.78,2.78
450,355,5.0,4.11,2.78,3.22,2.78,5.0,1.0,4.11
451,948,4.56,2.78,2.33,3.67,4.56,1.89,2.78,3.67
452,341,4.56,2.33,2.33,2.33,3.67,2.78,2.78,4.11
453,952,3.67,4.56,2.78,3.67,4.11,4.11,5.0,2.78
454,711,3.67,1.89,2.33,3.22,1.89,3.67,3.22,2.33
455,635,3.67,1.89,4.11,3.22,3.67,2.33,5.0,2.78
456,850,2.78,4.11,3.67,2.33,4.11,3.67,4.11,3.22
457,716,3.22,1.89,3.67,4.56,1.44,1.89,1.89,3.22
458,627,5.0,1.44,2.33,1.0,3.22,2.78,4.56,2.78
459,661,3.22,5.0,2.33,1.89,4.11,1.44,3.67,3.22
460,877,4.11,4.56,2.33,2.78,5.0,5.0,5.0,1.44
461,177,4.11,1.44,3.22,1.44,4.11,1.0,4.56,4.56
462,322,4.11,5.0,3.67,1.89,1.89,1.89,1.0,2.78
463,914,4.56,1.44,2.33,1.44,2.33,1.44,1.44,4.56
464,486,5.0,4.56,2.78,1.0,2.33,5.0,3.22,4.56
465,723,3.22,5.0,2.78,1.89,5.0,1.89,3.22,2.33
466,105,4.56,5.0,2.78,1.0,1.89,1.0,1.0,1.44
467,52,3.22,5.0,2.33,1.0,3.67,1.89,5.0,1.44
468,436,4.56,4.56,2.33,5.0,1.0,5.0,5.0,1.44
469,829,3.22,4.56,2.78,1.89,1.44,1.44,5.0,4.56
470,753,2.78,5.0,4.11,3.67,2.78,5.0,4.56,3.67
471,130,3.67,4.56,2.78,4.56,1.89,1.44,2.78,2.33
472,91,3.22,2.78,2.33,1.44,2.78,4.11,1.89,1.89
473,590,5.0,1.89,2.33,2.33,4.56,4.56,3.22,1.44
474,965,5.0,1.89,2.33,2.78,5.0,1.89,3.67,1.89
475,99,4.11,4.56,3.22,1.44,1.44,1.89,5.0,3.22
476,912,3.67,5.0,3.67,5.0,1.44,3.67,2.78,3.67
477,395,4.56,3.22,4.11,1.44,3.67,4.56,4.11,5.0
478,923,3.22,1.89,2.78,3.22,4.56,2.33,5.0,1.89
479,499,3.67,4.56,4.11,1.89,2.78,1.0,2.78,1.44
480,115,2.78,2.78,3.67,1.0,1.89,4.11,1.0,5.0
481,815,2.78,4.56,3.22,3.22,1.44,4.56,2.78,1.89
482,570,5.0,5.0,3.22,4.11,4.56,1.44,4.11,5.0
483,825,4.56,3.67,4.11,1.0,1.89,1.44,4.56,1.89
484,620,4.56,2.78,4.11,1.44,4.11,5.0,4.11,4.11
485,175,5.0,4.56,4.11,1.44,1.0,3.22,3.67,1.44
486,358,2.78,3.67,2.33,1.89,1.89,5.0,1.89,2.33
487,191,3.67,2.33,2.78,1.44,2.78,5.0,2.33,3.67
488,492,3.22,2.78,4.11,5.0,1.89,4.11,1.89,1.44
489,529,4.56,3.22,3.22,1.0,2.33,5.0,1.0,3.67
490,389,2.78,2.78,4.11,3.22,1.44,1.89,2.78,3.67
491,878,3.22,2.78,4.11,2.33,5.0,1.89,4.56,5.0
492,368,3.67,4.56,4.11,1.89,1.44,3.67,2.33,1.0
493,122,3.67,2.78,2.78,1.89,4.56,3.22,4.56,1.44
494,332,4.56,1.44,3.67,1.44,4.11,3.67,2.33,5.0
495,303,3.67,2.33,2.78,2.33,3.67,1.44,1.0,3.22
496,336,4.11,5.0,2.33,2.78,3.22,3.67,1.44,1.89
497,588,3.22,3.22,2.33,5.0,5.0,5.0,1.89,4.56
498,609,5.0,4.56,2.33,2.33,1.0,2.78,4.56,5.0
499,920,5.0,3.22,3.67,5.0,5.0,1.44,2.33,1.44
500,370,4.56,2.33,3.67,5.0,1.0,5.0,1.44,3.67
501,405,5.0,1.44,2.78,2.78,2.78,1.0,2.33,3.22
502,779,5.0,4.11,3.22,1.89,4.11,4.11,3.67,4.11
503,962,5.0,3.22,2.33,2.78,1.0,3.67,1.0,5.0
504,268,5.0,3.22,2.78,4.56,4.56,1.0,4.11,3.22
505,625,5.0,3.67,3.22,3.67,4.56,3.22,1.89,1.89
506,217,4.11,4.56,4.11,1.89,4.11,2.78,2.78,2.78
507,479,5.0,5.0,2.33,3.22,2.78,4.56,1.44,1.89
508,500,4.56,2.78,4.11,2.33,1.44,1.44,2.78,1.0
509,409,4.11,4.56,3.67,1.89,5.0,2.33,3.22,1.0
510,546,3.67,3.67,2.78,1.0,4.56,4.11,1.0,1.0
511,967,2.78,2.78,4.11,4.11,1.0,4.56,4.11,2.78
512,343,4.11,2.33,3.67,1.0,5.0,4.11,1.44,3.22
513,639,3.67,2.33,3.67,3.67,3.22,5.0,2.78,3.67
514,402,3.22,4.11,3.22,4.56,2.33,4.11,2.78,3.67
515,617,2.78,3.67,2.78,2.33,3.67,1.0,5.0,3.22
516,349,3.22,4.11,4.11,1.44,4.56,4.56,1.44,4.11
517,994,4.11,2.78,2.78,1.44,2.78,2.78,4.56,2.78
518,279,2.78,5.0,3.67,1.0,2.33,2.33,4.56,2.33
519,926,5.0,3.67,2.78,1.0,1.0,3.22,3.22,1.0
520,816,5.0,4.11,2.78,4.56,1.44,3.67,4.56,1.89
521,765,4.11,3.67,4.11,2.78,3.67,3.67,3.67,3.67
522,160,5.0,3.22,2.78,2.33,1.44,5.0,2.33,3.67
523,606,4.11,1.89,4.11,1.0,3.22,2.33,4.11,4.56
524,602,2.78,1.89,3.22,1.44,4.11,5.0,1.89,1.0
525,893,5.0,3.22,4.11,1.0,1.0,5.0,1.0,1.89
526,810,4.56,3.22,3.67,1.89,2.78,4.56,5.0,2.78
527,802,4.11,1.44,3.22,3.22,1.89,4.11,3.67,3.67
528,162,3.22,1.44,2.78,1.44,5.0,1.44,4.11,4.11
529,449,2.78,3.67,4.11,4.56,1.89,1.44,3.67,5.0
530,463,3.67,4.11,3.67,4.11,1.0,2.33,2.33,1.0
531,41,2.78,1.89,2.78,4.56,1.89,1.0,4.11,4.11
532,838,3.22,1.89,3.22,4.11,3.67,1.0,4.11,4.11
533,703,5.0,3.67,4.11,1.89,2.33,3.67,4.56,4.11
534,490,4.56,1.44,3.22,5.0,4.56,4.11,1.44,2.33
535,906,3.67,3.67,4.11,2.33,2.78,1.44,2.33,2.78
536,174,3.67,1.89,3.22,3.67,5.0,5.0,1.44,1.89
537,4,2.78,4.11,2.78,3.67,5.0,3.67,1.89,1.0
538,161,3.22,3.67,4.11,1.89,2.78,5.0,3.22,2.33
539,31,2.78,2.33,2.78,4.56,4.56,1.44,2.33,1.0
540,623,3.22,2.33,3.22,3.22,5.0,5.0,1.89,4.56
541,818,5.0,2.78,2.33,4.56,1.44,3.22,1.44,3.22
542,60,2.78,3.22,2.78,1.89,1.0,3.67,2.78,1.89
543,384,3.22,1.44,3.67,4.56,2.33,2.33,1.44,4.11
544,971,3.67,3.22,3.67,2.33,3.22,3.22,3.67,4.56
545,427,3.67,1.89,3.67,1.44,4.56,4.11,4.11,3.67
546,431,5.0,4.56,2.33,1.89,1.89,4.56,2.33,1.0
547,408,3.22,2.78,2.33,3.67,1.0,4.11,3.22,3.67
548,577,5.0,3.67,2.33,5.0,3.67,1.44,2.78,1.0
549,803,3.22,5.0,4.11,2.78,3.22,2.78,3.22,3.67
550,273,4.56,1.89,3.67,1.0,2.78,1.89,4.11,2.33
551,371,3.22,1.89,2.33,4.56,2.33,5.0,2.33,5.0
552,999,3.22,3.67,4.11,4.11,4.56,4.56,4.56,2.78
553,595,5.0,2.78,2.78,2.33,5.0,2.33,2.33,2.33
554,63,4.11,4.11,3.67,2.33,2.33,2.33,4.11,1.44
555,899,2.78,2.33,3.67,3.67,1.44,3.22,1.0,1.0
556,0,3.67,2.33,4.11,1.44,1.0,2.33,4.11,1.89
557,796,3.67,4.56,3.22,1.44,3.67,3.67,3.22,4.11
558,181,5.0,5.0,2.33,1.44,1.0,2.78,1.89,1.0
559,290,3.22,3.67,3.22,2.33,1.44,4.11,4.56,3.67
560,373,3.22,2.33,4.11,5.0,2.78,1.89,5.0,5.0
561,285,3.22,5.0,2.78,3.67,1.89,1.89,2.78,1.0
562,882,3.22,1.89,2.33,1.0,3.67,2.78,2.33,1.44
563,776,4.11,1.89,3.67,3.22,1.89,3.67,3.22,3.67
564,935,5.0,4.56,3.67,1.44,4.11,1.44,1.0,1.44
565,679,5.0,3.22,2.33,2.78,5.0,4.56,3.22,3.67
566,102,3.67,2.33,3.22,1.89,2.78,3.67,2.78,2.78
567,618,2.78,4.11,3.22,4.56,1.89,4.11,3.67,4.56
568,607,4.11,2.33,2.33,5.0,5.0,4.11,1.89,3.67
569,743,4.56,3.67,3.67,5.0,1.0,2.78,2.78,5.0
570,682,4.11,2.78,4.11,4.56,1.44,5.0,1.89,2.33
571,16,2.78,1.89,3.22,3.22,2.78,4.11,4.11,1.44
572,969,4.11,3.22,4.11,5.0,1.44,1.0,1.89,1.44
573,46,4.11,2.33,2.33,4.56,2.78,3.67,2.33,4.11
574,706,3.22,4.11,3.67,4.56,4.11,3.22,2.33,1.0
575,993,4.56,4.56,2.33,1.0,2.78,1.44,4.56,4.56
576,508,5.0,3.22,2.78,4.11,4.11,2.78,3.67,5.0
577,989,4.11,2.33,2.78,2.33,4.11,3.22,3.67,1.89
578,133,5.0,2.33,3.67,1.89,2.78,2.33,2.33,2.78
579,15,4.11,4.56,4.11,1.89,3.22,5.0,1.44,1.89
580,78,5.0,4.56,3.22,4.11,5.0,3.67,3.67,4.11
581,433,3.22,3.22,4.11,2.33,4.11,4.56,2.33,1.0
582,784,3.67,3.67,2.33,1.89,3.67,4.11,3.22,5.0
583,983,2.78,1.44,2.33,1.0,4.56,2.33,1.89,1.44
584,197,4.56,1.89,2.78,4.56,4.11,1.44,2.33,5.0
585,483,4.11,1.44,3.22,1.44,5.0,1.44,1.44,2.78
586,376,2.78,2.78,2.78,4.11,4.11,2.33,3.22,5.0
587,915,5.0,3.67,2.33,3.22,4.56,2.33,4.56,2.78
588,210,3.22,2.78,3.67,4.56,2.78,1.0,1.44,2.33
589,20,4.11,2.33,2.78,1.0,5.0,5.0,3.67,2.78
590,425,2.78,4.56,4.11,1.0,5.0,4.11,5.0,5.0
591,668,3.22,1.89,3.22,1.0,1.44,5.0,4.56,1.89
592,54,3.67,1.44,2.78,1.0,2.78,1.89,1.0,1.89
593,950,3.67,1.44,3.67,5.0,2.78,1.89,2.33,3.67
594,782,3.22,3.67,2.33,1.44,1.44,1.0,1.89,4.11
595,108,2.78,2.78,3.67,2.78,5.0,3.67,1.89,4.56
596,400,4.56,2.33,2.78,2.78,4.11,5.0,3.22,5.0
597,685,5.0,4.56,3.67,1.89,1.0,3.22,3.22,2.33
598,673,4.56,1.89,2.33,2.33,3.67,4.56,4.11,2.33
599,198,3.22,3.67,3.67,3.67,1.89,2.78,2.33,1.89
600,14,2.78,2.78,4.11,4.56,3.67,2.78,1.44,1.0
601,172,3.22,2.78,4.11,1.89,2.33,1.89,5.0,1.89
602,359,2.78,3.22,3.67,3.22,4.56,2.78,1.0,2.78
603,714,5.0,2.78,2.78,2.78,3.67,2.78,3.67,4.56
604,785,3.67,3.22,3.67,1.0,3.67,2.78,2.78,4.56
605,865,4.11,2.33,3.22,1.44,3.67,2.78,1.44,3.67
606,662,5.0,3.22,2.33,2.78,1.0,4.56,3.22,1.89
607,513,4.56,5.0,3.67,3.67,4.56,1.44,5.0,1.0
608,722,3.67,5.0,2.78,2.78,2.33,4.56,3.22,3.67
609,8,3.22,3.67,3.22,5.0,3.22,4.56,4.56,5.0
610,873,5.0,5.0,2.33,2.78,4.56,5.0,1.44,2.78
611,684,5.0,1.89,3.67,2.33,2.33,2.78,1.0,5.0
612,73,3.67,1.44,2.78,3.22,1.89,1.0,1.0,2.33
613,900,4.56,4.11,2.78,4.11,2.33,3.22,4.56,3.67
614,933,3.22,4.56,2.33,4.11,3.67,5.0,1.89,2.78
615,634,3.22,3.67,3.22,3.22,1.0,3.22,1.89,4.11
616,835,4.11,1.44,3.67,4.11,1.89,2.33,1.89,2.33
617,422,4.56,4.11,2.33,2.33,4.11,1.89,2.33,5.0
618,235,3.22,1.44,4.11,4.11,3.22,1.89,1.89,1.0
619,286,5.0,1.89,3.67,5.0,4.11,4.11,2.33,4.56
620,129,3.67,1.89,2.33,4.56,1.0,2.33,2.33,4.56
621,443,3.67,4.56,4.11,1.44,2.33,2.78,1.0,2.78
622,301,5.0,3.67,3.67,2.33,1.89,2.33,4.56,1.44
623,532,5.0,1.44,2.33,1.44,1.44,3.22,5.0,4.56
624,64,3.22,1.44,4.11,1.0,4.11,2.33,4.11,2.33
625,860,5.0,4.11,2.33,1.89,3.67,1.0,2.33,2.78
626,559,4.11,2.33,2.33,3.22,2.78,2.78,1.0,3.67
627,311,3.67,2.78,3.22,4.11,2.33,4.56,4.11,4.56
628,32,4.56,1.89,3.67,3.67,3.22,1.0,4.56,1.44
629,296,5.0,3.67,2.33,1.44,1.44,5.0,5.0,4.11
630,419,5.0,1.44,2.78,4.11,2.78,1.89,1.89,5.0
631,83,5.0,3.22,3.22,1.0,4.11,1.0,1.89,4.56
632,594,3.67,1.44,3.67,3.22,3.67,1.44,1.89,3.22
633,501,2.78,1.44,4.11,2.33,3.67,3.22,5.0,2.33
634,411,4.11,2.33,2.33,2.33,4.11,2.33,1.89,1.0
635,824,5.0,3.67,3.67,4.56,2.33,4.56,4.56,4.11
636,585,3.67,3.22,4.11,1.44,2.33,3.67,5.0,4.56
637,848,4.56,4.56,3.22,1.0,4.56,1.44,4.11,3.22
638,299,5.0,4.11,2.78,2.78,2.33,1.89,1.0,4.56
639,107,4.56,2.33,4.11,3.22,5.0,2.33,2.78,4.56
640,119,4.56,5.0,2.78,1.0,4.56,3.22,3.67,3.22
641,335,2.78,1.89,2.33,1.44,4.11,2.33,3.67,3.22
642,557,2.78,2.78,4.11,1.44,2.33,5.0,3.22,1.0
643,113,2.78,3.22,3.67,1.0,5.0,3.22,2.33,3.67
644,281,2.78,3.22,3.22,1.89,2.33,1.0,1.0,1.0
645,836,4.56,1.89,2.33,3.22,3.22,1.89,1.44,3.67
646,426,4.56,4.11,3.67,4.11,5.0,3.22,4.56,4.11
647,42,4.11,1.44,2.33,3.22,3.22,3.67,1.89,1.0
648,567,4.56,1.89,4.11,1.0,2.33,4.56,5.0,4.56
649,589,2.78,4.11,3.67,2.78,3.22,3.67,4.11,4.56
650,187,2.78,2.78,3.22,1.44,3.22,1.0,4.11,2.78
651,615,2.78,3.22,3.67,4.56,1.0,1.0,1.0,2.78
652,556,4.56,4.56,2.78,2.78,1.0,1.89,3.22,5.0
653,3,4.56,3.22,2.78,4.56,5.0,2.78,2.78,2.33
654,667,4.56,4.56,3.22,1.44,1.0,1.89,5.0,1.44
655,234,3.67,1.44,2.33,2.78,1.0,4.11,3.67,1.44
656,96,3.22,3.22,2.78,5.0,4.11,5.0,2.78,1.44
657,691,3.67,3.67,4.11,4.11,2.78,2.33,4.11,1.44
658,269,4.56,5.0,3.22,5.0,5.0,1.0,4.56,5.0
659,566,4.11,5.0,3.22,5.0,3.67,3.22,3.22,1.0
660,985,2.78,2.78,2.33,4.11,3.67,3.22,3.67,1.89
661,437,3.67,1.44,3.22,3.67,2.78,4.11,1.0,4.11
662,200,4.11,2.33,4.11,3.22,4.11,2.33,3.67,1.0
663,291,5.0,1.89,3.67,4.11,1.44,5.0,1.89,1.89
664,612,4.11,4.56,4.11,3.67,1.0,1.44,4.11,2.33
665,448,3.22,3.67,3.67,4.56,1.44,4.56,1.44,2.78
666,439,3.22,4.11,3.67,3.67,3.67,2.33,2.78,2.33
667,573,2.78,2.78,2.78,4.11,4.11,4.56,4.11,1.44
668,7,2.78,4.11,2.78,3.22,1.44,5.0,2.33,4.11
669,725,2.78,5.0,4.11,2.33,1.89,2.78,1.0,3.22
670,50,4.56,4.11,3.22,3.67,1.0,3.22,3.67,2.33
671,423,3.67,4.56,2.78,5.0,5.0,3.67,3.67,1.89
672,140,3.67,5.0,3.22,4.11,3.22,5.0,4.56,3.22
673,135,4.11,4.56,3.67,1.89,3.22,5.0,1.44,4.56
674,786,2.78,2.33,3.67,2.78,2.78,3.22,3.67,1.0
675,601,4.11,4.56,2.33,2.78,2.33,1.89,1.0,5.0
676,493,4.56,2.33,2.33,4.56,2.33,1.89,3.22,3.67
677,553,3.67,1.44,2.33,3.67,1.89,2.78,1.0,1.89
678,27,3.67,1.89,2.78,2.78,2.78,1.0,4.11,3.22
679,257,4.11,2.78,3.22,2.33,2.33,1.0,2.78,2.33
680,225,5.0,2.33,2.78,4.56,1.89,3.22,4.56,2.33
681,788,3.22,2.78,3.22,1.89,5.0,2.33,1.89,4.11
682,37,4.11,4.56,2.78,1.89,2.33,1.89,2.78,1.44
683,170,2.78,5.0,3.67,1.44,4.11,2.78,4.56,2.78
684,528,4.56,1.44,2.78,1.44,3.22,2.78,1.0,3.22
685,600,3.67,4.11,3.22,5.0,3.22,3.67,3.67,3.22
686,655,3.67,4.11,2.78,2.33,1.0,3.22,3.22,4.11
687,74,4.11,4.11,3.22,1.0,1.44,2.78,1.44,3.22
688,505,4.56,3.22,4.11,2.78,4.11,2.33,3.67,3.22
689,377,2.78,2.78,3.67,1.89,4.56,3.22,1.0,2.33
690,808,4.11,3.22,2.33,2.78,1.0,4.11,4.11,1.89
691,366,4.56,4.56,4.11,1.44,1.0,5.0,2.78,1.44
692,238,4.11,3.67,2.78,5.0,5.0,4.56,3.67,5.0
693,255,4.56,5.0,3.67,5.0,1.89,1.44,3.67,4.11
694,123,5.0,1.44,2.33,2.78,4.56,4.11,1.89,2.78
695,663,3.22,1.44,4.11,1.44,2.78,3.67,2.78,3.67
696,876,3.22,3.67,2.33,2.33,4.56,1.44,2.78,4.56
697,690,2.78,5.0,4.11,2.33,1.44,3.67,4.56,3.22
698,309,2.78,4.11,2.33,4.56,1.44,1.0,2.33,2.78
699,693,3.67,4.56,4.11,1.0,2.78,5.0,1.89,3.67
700,226,3.67,3.22,4.11,4.11,4.11,2.78,4.11,4.11
701,951,5.0,5.0,3.67,5.0,2.78,4.56,3.67,1.0
702,260,4.56,1.89,3.67,2.33,3.67,1.44,4.11,1.89
703,243,4.56,4.11,4.11,4.11,2.33,5.0,4.11,4.56
704,222,2.78,2.33,2.33,1.44,3.67,4.56,2.78,1.89
705,314,2.78,5.0,3.22,4.11,3.22,3.22,5.0,2.33
706,229,3.67,3.22,4.11,1.44,1.44,5.0,4.11,4.11
707,85,2.78,3.22,4.11,4.56,1.89,2.33,2.33,2.33
708,76,4.11,4.56,4.11,3.22,1.89,5.0,3.67,1.44
709,887,3.22,4.56,2.78,4.11,4.56,3.67,3.22,1.44
710,582,4.11,2.33,3.67,4.11,1.0,2.78,4.56,1.89
711,674,4.11,2.78,3.22,4.11,3.67,5.0,1.44,3.67
712,986,3.67,1.44,3.22,1.44,2.33,3.67,5.0,3.67
713,511,4.11,2.33,2.33,2.78,1.44,5.0,5.0,3.22
714,879,3.22,5.0,2.78,5.0,4.56,2.78,2.78,2.33
715,401,4.11,5.0,3.67,1.44,4.11,5.0,4.11,4.56
716,514,3.22,3.22,3.67,5.0,3.67,3.67,3.22,1.89
717,750,5.0,1.89,4.11,1.0,2.78,1.0,1.89,2.78
718,156,3.67,2.33,3.67,4.56,5.0,4.11,2.78,4.11
719,775,2.78,3.22,3.67,1.44,2.78,2.33,1.0,2.33
720,329,4.56,4.11,4.11,2.78,1.89,1.89,5.0,4.11
721,467,4.11,5.0,2.78,3.67,3.67,1.0,1.89,3.22
722,178,3.67,3.67,2.33,3.67,1.0,1.44,1.0,1.44
723,549,2.78,1.89,3.67,3.22,4.11,4.11,2.78,2.78
724,453,4.11,2.33,2.33,2.33,1.44,4.11,1.0,2.33
725,307,3.22,4.56,2.78,1.0,3.22,2.78,1.89,2.78
726,472,3.22,4.11,3.67,3.67,4.56,4.56,1.44,1.89
727,392,3.67,3.67,2.33,4.56,3.67,5.0,4.11,2.33
728,65,3.22,2.33,2.33,3.22,1.89,5.0,4.11,1.89
729,575,4.56,2.33,3.67,3.67,1.0,1.0,2.78,1.0
730,855,4.11,1.89,3.22,2.33,1.0,1.0,4.56,3.67
731,791,2.78,4.56,2.33,2.33,1.0,2.33,5.0,4.56
732,391,2.78,1.89,3.67,3.22,3.67,3.22,4.56,2.33
733,973,3.22,1.89,2.33,3.22,2.33,3.22,3.22,4.56
734,828,4.11,1.89,2.78,1.44,4.56,2.78,3.22,1.89
735,247,3.22,4.56,3.22,2.78,1.44,1.44,1.89,3.67
736,412,4.56,1.44,2.78,4.11,3.67,1.44,5.0,2.33
737,67,3.67,4.56,2.33,1.89,4.56,1.0,1.0,1.44
738,289,2.78,1.44,2.78,4.11,4.56,1.44,3.67,1.44
739,399,5.0,3.22,2.33,4.11,3.22,2.78,5.0,2.33
740,138,4.11,2.78,4.11,4.11,5.0,2.33,1.44,3.22
741,537,5.0,3.22,2.33,4.56,4.56,2.78,3.67,2.78
742,265,2.78,4.56,3.67,3.22,2.78,3.22,2.78,1.89
743,724,2.78,1.44,3.22,1.0,3.67,1.89,1.89,1.0
744,653,2.78,3.22,2.78,3.22,3.22,1.89,4.56,1.44
745,318,3.22,4.11,2.78,5.0,3.22,3.67,5.0,4.11
746,232,3.22,4.11,2.78,2.78,1.0,1.0,3.67,4.11
747,21,4.56,3.67,2.78,1.89,3.22,3.22,1.0,3.22
748,998,4.56,3.67,2.78,1.0,1.44,1.44,1.0,5.0
749,694,4.56,4.11,4.11,5.0,3.67,3.67,3.67,1.44
750,927,3.22,1.44,3.22,1.44,5.0,1.89,3.22,2.33
751,348,3.67,4.56,2.78,3.22,2.78,2.78,4.11,3.22
752,968,3.22,3.67,3.22,1.89,4.11,1.0,4.56,1.89
753,992,5.0,3.22,2.33,1.89,4.11,3.22,5.0,1.89
754,764,4.56,1.89,3.67,3.22,1.89,4.11,5.0,1.44
755,587,2.78,2.33,4.11,1.44,1.44,1.44,2.33,5.0
756,944,5.0,4.11,3.22,4.11,4.11,3.67,4.56,3.22
757,239,2.78,5.0,2.33,1.89,1.44,3.67,2.33,2.33
758,886,3.67,3.67,2.78,2.78,5.0,1.0,4.56,4.56
759,23,4.56,3.67,2.33,1.44,1.0,1.44,4.56,1.89
760,458,3.22,1.44,2.33,3.22,3.22,5.0,2.33,1.0
761,822,3.22,1.44,3.67,1.0,2.78,2.33,1.0,5.0
762,413,3.67,5.0,2.33,1.44,1.89,1.0,5.0,1.0
763,563,3.67,2.33,4.11,4.11,3.67,1.89,1.89,5.0
764,331,4.11,4.11,3.67,2.78,5.0,2.33,3.67,2.78
765,434,3.67,3.67,3.67,3.22,1.0,4.11,4.56,3.22
766,456,5.0,2.33,4.11,3.22,2.78,1.0,5.0,1.0
767,430,4.56,3.22,2.33,4.56,4.11,3.22,2.33,1.89
768,896,3.22,4.11,3.67,2.78,2.33,2.33,2.78,2.78
